man	骑车人	ReverseEntailment	人,汉,夫,男士,汉子	UNK_EN
killed	死	ForwardEntailment	受害,蒙难	impassable,uncrossable,inflexible,rigid,extremely,damned
marry	新娘	OtherRelated	UNK_HI	bride
support	接收	OtherRelated	台,支持,撑,依托,支架	UNK_EN
top	下	Exclusion	面,盖,顶,极,尖峰	down,downwards,below,lower,later
achieved	被实现	Equivalence	UNK_HI	UNK_EN
headquarters	总部	Equivalence	司令部,本部,大本营,队部	UNK_EN
vehicle	摩托车	ReverseEntailment	车,车辆,媒介,交通工具,载具	motorbike
korean	韩国	ForwardEntailment	UNK_HI	UNK_EN
political	政府	ReverseEntailment	政治,政,政治性	government
injure	损伤	Equivalence	圮,刿,惎	impairment,loss,disability
work	合作	ReverseEntailment	工作,事,事务,作业,劳动	cooperation
victory	战争	OtherRelated	胜利,胜,捷,胜仗	war,conflict
young	儿童	ReverseEntailment	小,少,年轻,毛,弱	child
fungus	菌	ForwardEntailment	真菌,菌,苓,菌类	germ,bacteria,fungus,mold,mushroom
rabbit	兔子	Equivalence	兔,兔子	hare,rabbit
widespread	流行	Equivalence	普遍,普及,咸,广大	fashionable
drink	杯子	OtherRelated	饮料,饮用	cup,glass
food	乳制品	ReverseEntailment	食物,食品,食,饭,粮	UNK_EN
soil	物	ForwardEntailment	土地,土壤,泥土,壤	thing,object,matter
woods	森林	Equivalence	林,树林,林子	forest
dog	动物	ForwardEntailment	狗,犬	animal
patient	人	ForwardEntailment	患者,病人,病患,耐,病者	man,person,people
lose	赚	Exclusion	UNK_HI	UNK_EN
traffic	移动	OtherRelated	交通,车流,车行	movement,migration,mobile,portable
wipe	清洁	ForwardEntailment	UNK_HI	clean
invasion	攻击	ForwardEntailment	侵略	UNK_EN
tea	咖啡	Exclusion	茶,茶叶	UNK_EN
less	增加	Exclusion	少	UNK_EN
writings	戏剧	ReverseEntailment	著作,文章,文笔	drama,play,theater
united	州	OtherRelated	团结,同心,合众	prefecture
white	蓝色	Exclusion	白色,白,素,粉,暠	UNK_EN
troop	军事	ForwardEntailment	人马	military
tennis	高尔夫球	Exclusion	网球	golf
kabul	阿富汗	ForwardEntailment	UNK_HI	UNK_EN
do	创建	ReverseEntailment	UNK_HI	UNK_EN
republic	塞浦路斯	ReverseEntailment	共和,共和国,共和制	UNK_EN
eyes	棕色	OtherRelated	眼目,眼眸	brown
soccer	足球	Equivalence	足球	soccer,football
wave	水	ForwardEntailment	波,阵,浪潮,波浪,浪	water,river,liquid,beverage
victim	杀	OtherRelated	受害者,受害人,遇难者,被害人	UNK_EN
rest	位于	Exclusion	休息	UNK_EN
france	欧洲	ForwardEntailment	UNK_HI	UNK_EN
tree	森林	ForwardEntailment	树,木,树木	forest
significantly	大	ForwardEntailment	UNK_HI	big,huge,large,major,great,wide,deep,oldest,eldest,greatly
class	课堂	ReverseEntailment	等,类,门,班,种类	classroom
child	男孩	ReverseEntailment	子,儿童,孩子,儿,小孩	boy
flight	航空	ReverseEntailment	飞行,航程,架次,航次	aviation
toddler	孩子	ForwardEntailment	UNK_HI	child
title	冠军	OtherRelated	目,称号,标题,头衔,锦标	champion
meeting	遇到	Equivalence	会议,集会,会面,会合,会晤	UNK_EN
law	授权	OtherRelated	法律,法,法,法学,辟	UNK_EN
muddy	脏	ForwardEntailment	混,浊,浑,混浊,泥泞	viscera,dirty,filthy
second	再次	Equivalence	再,第二,次,亚,第二次	again
say	呼叫	ReverseEntailment	UNK_HI	UNK_EN
side	面前	Exclusion	方面,面,头,方,旁	facing
strongly	强大	ForwardEntailment	UNK_HI	large,formidable,powerful,strong
light	黑暗	Exclusion	轻,光,光明,灯,光线	dark,darkly,darkness
