vote	casting	OtherRelated	铸件	铸件
province	china	OtherRelated	中国,我国,中华,中,瓷	中国,我国,中华,中,瓷
safety	question	OtherRelated	问题,质,质疑,讯,疑问	问题,质,质疑,讯,疑问
opportunity	instance	OtherRelated	案件,例,例子,故,副本	案件,例,例子,故,副本
memo	note	OtherRelated	注,音,札,音符,记	注,音,札,音符,记
sand	sandy	OtherRelated	沙质	沙质
graphical	graphics	OtherRelated	制图	制图
delay	procrastination	OtherRelated	迟滞	迟滞
annotations	notes	OtherRelated	提纲,题解,笔记	提纲,题解,笔记
turkey	uganda	OtherRelated	乌干达	乌干达
efficient	efficiency	OtherRelated	效益,效率	效益,效率
internet	address	OtherRelated	致辞,讲话,地址,寻址,住址	致辞,讲话,地址,寻址,住址
sites	web	OtherRelated	蹼	蹼
caretaker	provisional	OtherRelated	暂行,暂时,暂定,浮	暂行,暂时,暂定,浮
interaction	correlation	OtherRelated	相关,相关性	相关,相关性
telephone	message	OtherRelated	讯息,留言,诉求,寓意,信息	讯息,留言,诉求,寓意,信息
theme	rhythm	OtherRelated	旋律,节奏,规律,韵律,节律	旋律,节奏,规律,韵律,节律
corpus	order	OtherRelated	次,点,命令,第,令	次,点,命令,第,令
adjacent	proximity	OtherRelated	边儿	边儿
praise	salute	OtherRelated	行礼,敬礼,拜,敬	行礼,敬礼,拜,敬
distribution	range	OtherRelated	较差,方圆,幅度,射程,范围	较差,方圆,幅度,射程,范围
wealth	heritage	OtherRelated	遗产,历史遗产,嗣徽	遗产,历史遗产,嗣徽
common	collective	OtherRelated	集体,集体户	集体,集体户
disaster	tsunami	OtherRelated	津浪,海啸	津浪,海啸
devise	fetch	OtherRelated	打,払,拿来,取	打,払,拿来,取
villa	house	OtherRelated	门,屋,居,房屋,房	门,屋,居,房屋,房
stain	tint	OtherRelated	染发剂,染发,色彩	染发剂,染发,色彩
federal	law	OtherRelated	法学,法,辟,法律	法学,法,辟,法律
tuning	listen	OtherRelated	侧耳,聆,聆听,听,听闻	侧耳,聆,聆听,听,听闻
model	mode	OtherRelated	状态,调,调式,模式,方式	状态,调,调式,模式,方式
beacon	gauge	OtherRelated	计,量表,测量,目测,轨距	计,量表,测量,目测,轨距
spa	resort	OtherRelated	娱乐场,度假区	娱乐场,度假区
continuity	succession	OtherRelated	演替,嗣,世袭	演替,嗣,世袭
cardholders	card	OtherRelated	卡,帖子,名片,柬,卡片	卡,帖子,名片,柬,卡片
lowest	small	OtherRelated	裨,戋,区,小,芮	裨,戋,区,小,芮
strength	momentum	OtherRelated	势头,动量,势,声势	势头,动量,势,声势
herbicide	pesticide	OtherRelated	杀虫剂,农药	杀虫剂,农药
feet	apartment	OtherRelated	套房,居室,套间,单元房,房子	套房,居室,套间,单元房,房子
overhead	broad	OtherRelated	远大,宽广,宽,阔,笼统	远大,宽广,宽,阔,笼统
broadcaster	transmitter	OtherRelated	传递者,发射机,发送器	传递者,发射机,发送器
guide	redirect	OtherRelated	重定向	重定向
ministry	spokesperson	OtherRelated	发言人,代言人,报告员,喉舌	发言人,代言人,报告员,喉舌
